d,sites,rho0(0),rho0(0)_stderr,rhosc(0),rhosc(0)_stderr
0,10,(4.660±0.089)e-06,8.88e-08,0.1867±0.0015,0.0015
1,10,(4.157±0.052)e-06,5.18e-08,0.3223±0.0042,0.0042
2,20,(2.693±0.064)e-06,6.40e-08,0.3372±0.0087,0.0087
3,40,(1.959±0.043)e-06,4.31e-08,0.3106±0.0062,0.0062
4,80,(4.80±0.14)e-06,1.41e-07,0.2927±0.0072,0.0072
5,140,(2.878±0.072)e-06,7.21e-08,0.2912±0.0069,0.0069
6,270,(2.419±0.055)e-06,5.48e-08,0.2918±0.0067,0.0067
7,510,(1.129±0.029)e-06,2.86e-08,0.2845±0.0072,0.0072
8,960,(1.254±0.033)e-06,3.30e-08,0.3047±0.0063,0.0063
9,1640,(7.34±0.20)e-07,1.97e-08,0.2807±0.0067,0.0067
10,2440,(8.38±0.23)e-07,2.31e-08,0.2929±0.0068,0.0068
11,3000,(6.26±0.15)e-07,1.52e-08,0.2948±0.0058,0.0058
12,3010,(5.68±0.10)e-07,1.02e-08,0.2759±0.0049,0.0049
13,2400,(4.266±0.095)e-07,9.47e-09,0.2711±0.0053,0.0053
14,1480,(3.849±0.092)e-07,9.24e-09,0.2811±0.0056,0.0056
15,640,(2.551±0.057)e-07,5.68e-09,0.2759±0.0065,0.0065
16,160,(3.346±0.084)e-07,8.38e-09,0.2800±0.0068,0.0068
